YEAR,MONTH,COUNTRY,MODEL,SEGMENT,ENGINE TYPE ,PRICE IN USD,UNIT SOLD
2015,5,India,3 Series,SUV,Petrol," $82,645 ",827
2015,5,Brazil,7 Series,SUV,Petrol," $1,10,242 ",943
2015,5,USA,7 Series,SUV,Diesel," $1,09,024 ",493
2015,5,France,i4,SUV,Electric," $91,396 ",15
2015,5,France,i7,Electric,Hybrid," $1,02,616 ",687
2015,5,Germany,i7,Sedan,Petrol," $90,739 ",527
2015,5,Brazil,X1,SUV,Electric," $58,760 ",916
2015,5,Canada,X5,Electric,Hybrid," $61,140 ",1044
2015,5,Brazil,X7,SUV,Petrol," $1,12,463 ",507
2015,6,UK,5 Series,Electric,Diesel," $63,926 ",882
2015,6,India,7 Series,SUV,Petrol," $1,03,472 ",313
2015,6,Australia,i4,SUV,Diesel," $1,18,791 ",751
2015,6,France,i7,Electric,Diesel," $76,984 ",814
2015,6,China,X1,Sedan,Petrol," $1,13,518 ",1156
2015,6,UK,X1,SUV,Petrol," $87,975 ",751
2015,6,USA,X5,Sedan,Electric," $93,502 ",596
2015,7,Brazil,3 Series,SUV,Diesel," $44,927 ",923
2015,7,Germany,3 Series,Sedan,Petrol," $46,279 ",999
2015,7,China,i4,Sedan,Electric," $1,11,976 ",552
2015,7,Canada,i7,Sedan,Diesel," $1,07,394 ",224
2015,7,China,i7,Sedan,Hybrid," $43,876 ",467
2015,7,China,iX,Sedan,Diesel," $44,637 ",861
2015,7,China,X3,SUV,Petrol," $37,895 ",762
2015,7,India,X5,SUV,Electric," $59,299 ",904
2015,7,UK,X5,Sedan,Hybrid," $1,07,635 ",662
2015,7,USA,X7,SUV,Diesel," $36,378 ",953
2015,8,India,3 Series,SUV,Diesel," $44,837 ",670
2015,8,USA,3 Series,Electric,Petrol," $87,982 ",495
2015,8,China,5 Series,SUV,Hybrid," $40,583 ",417
2015,8,France,i4,Sedan,Electric," $77,065 ",929
2015,8,Canada,i7,Electric,Hybrid," $49,414 ",564
2015,8,Australia,X1,Electric,Diesel," $65,930 ",301
2015,8,Canada,X3,Sedan,Diesel," $59,648 ",724
2015,8,Germany,X3,Electric,Petrol," $42,533 ",721
2015,8,Germany,X3,SUV,Petrol," $51,075 ",388
2015,8,Canada,X5,Electric,Hybrid," $1,14,823 ",398
2015,8,Japan,X7,Sedan,Diesel," $96,861 ",451
2015,8,UK,X7,SUV,Diesel," $35,893 ",212
2015,9,USA,3 Series,SUV,Petrol," $46,772 ",1044
2015,9,USA,i4,SUV,Hybrid," $75,734 ",836
2015,9,Japan,X1,SUV,Electric," $72,052 ",908
2015,9,USA,X1,SUV,Hybrid," $1,01,677 ",255
2015,9,Australia,X3,SUV,Hybrid," $96,431 ",937
2015,9,UK,X3,SUV,Electric," $41,054 ",905
2015,9,USA,X3,Sedan,Hybrid," $1,19,577 ",678
2015,9,Germany,X5,Electric,Diesel," $88,639 ",482
2015,9,USA,X5,SUV,Electric," $81,418 ",162
2015,9,Australia,X7,SUV,Diesel," $65,607 ",588
2015,9,Brazil,X7,Electric,Petrol," $1,03,876 ",540
2015,9,UK,X7,Electric,Diesel," $75,581 ",848
2015,10,France,3 Series,Sedan,Hybrid," $1,12,004 ",130
2015,10,Germany,5 Series,SUV,Petrol," $80,760 ",961
2015,10,China,7 Series,Sedan,Petrol," $1,15,846 ",359
2015,10,USA,7 Series,Sedan,Diesel," $71,561 ",284
2015,10,France,i7,SUV,Diesel," $75,277 ",275
2015,10,Australia,X1,SUV,Electric," $42,349 ",372
2015,10,France,X3,SUV,Diesel," $63,557 ",542
2015,10,USA,X5,Electric,Hybrid," $61,123 ",788
2015,10,France,X7,Sedan,Petrol," $67,634 ",849
2015,11,Germany,3 Series,Electric,Diesel," $45,143 ",651
2015,11,UK,3 Series,Sedan,Diesel," $1,15,863 ",473
2015,11,UK,3 Series,SUV,Hybrid," $38,775 ",835
2015,11,USA,3 Series,SUV,Hybrid," $55,711 ",170
2015,11,Brazil,5 Series,Sedan,Hybrid," $67,919 ",600
2015,11,Germany,5 Series,Electric,Petrol," $81,032 ",247
2015,11,USA,5 Series,Sedan,Hybrid," $86,702 ",304
2015,11,Brazil,i4,Sedan,Hybrid," $1,12,239 ",446
2015,11,France,i4,SUV,Diesel," $1,00,911 ",1145
2015,11,India,i7,Sedan,Electric," $69,159 ",994
2015,11,China,iX,Electric,Hybrid," $87,057 ",1196
2015,11,China,X1,Sedan,Electric," $78,459 ",576
2015,11,UK,X1,Electric,Electric," $1,07,573 ",759
2015,11,Brazil,X3,SUV,Electric," $91,548 ",887
2015,11,China,X5,SUV,Diesel," $47,720 ",677
2015,12,UK,3 Series,Sedan,Diesel," $54,065 ",713
2015,12,Brazil,5 Series,Electric,Diesel," $85,435 ",1038
2015,12,Canada,7 Series,Electric,Diesel," $39,321 ",367
2015,12,Canada,i4,Electric,Petrol," $1,18,860 ",1078
2015,12,Germany,i4,Electric,Hybrid," $1,08,843 ",822
2015,12,China,X1,Electric,Hybrid," $1,17,476 ",1025
2015,12,China,X3,Electric,Diesel," $58,649 ",1071
2015,12,India,X3,SUV,Hybrid," $53,100 ",320
2015,12,Brazil,X5,Sedan,Electric," $81,546 ",532
2015,12,USA,X5,SUV,Hybrid," $83,665 ",553
2016,1,Australia,7 Series,Sedan,Hybrid," $80,246 ",479
2016,1,Canada,7 Series,Sedan,Diesel," $60,081 ",100
2016,1,Brazil,i7,Sedan,Hybrid," $45,681 ",511
2016,1,Germany,X3,Sedan,Hybrid," $76,798 ",1104
2016,2,Brazil,5 Series,SUV,Electric," $58,600 ",654
2016,2,Japan,5 Series,SUV,Hybrid," $42,797 ",1026
2016,2,UK,7 Series,Sedan,Petrol," $1,03,116 ",231
2016,2,USA,7 Series,Sedan,Hybrid," $1,15,960 ",805
2016,2,Australia,iX,Electric,Petrol," $75,860 ",330
2016,2,Brazil,X1,SUV,Diesel," $68,302 ",438
2016,2,Australia,X7,SUV,Hybrid," $44,190 ",632
2016,2,China,X7,Electric,Petrol," $1,05,990 ",1024
2016,2,India,X7,SUV,Petrol," $95,739 ",184
2016,3,India,i4,Sedan,Hybrid," $50,187 ",708
2016,3,India,i4,SUV,Hybrid," $98,080 ",317
2016,3,China,iX,SUV,Diesel," $1,19,817 ",730
2016,3,Australia,X1,SUV,Electric," $85,013 ",347
2016,3,France,X1,Sedan,Diesel," $38,114 ",968
2016,3,Japan,X1,Sedan,Electric," $78,254 ",377
2016,3,UK,X5,Electric,Electric," $50,989 ",651
2016,3,Germany,X7,Electric,Diesel," $88,473 ",540
2016,4,UK,5 Series,Electric,Diesel," $61,950 ",931
2016,4,Australia,7 Series,Sedan,Petrol," $85,210 ",865
2016,4,China,i4,Electric,Petrol," $41,191 ",1197
2016,4,India,i4,Electric,Diesel," $62,281 ",640
2016,4,Canada,i7,Sedan,Diesel," $36,301 ",595
2016,4,Brazil,iX,SUV,Diesel," $64,424 ",456
2016,5,Brazil,3 Series,Sedan,Electric," $86,567 ",463
2016,5,Canada,3 Series,Electric,Electric," $1,19,694 ",536
2016,5,Canada,5 Series,Electric,Electric," $79,066 ",587
2016,5,Australia,7 Series,SUV,Petrol," $1,02,691 ",390
2016,5,Brazil,7 Series,Electric,Hybrid," $55,918 ",680
2016,5,UK,i4,SUV,Diesel," $1,02,684 ",336
2016,5,Australia,iX,Sedan,Hybrid," $69,474 ",548
2016,5,Germany,X3,SUV,Electric," $59,162 ",542
2016,5,Canada,X5,Sedan,Electric," $78,066 ",187
2016,5,China,X5,SUV,Diesel," $74,661 ",529
2016,6,China,5 Series,SUV,Electric," $69,493 ",967
2016,6,Japan,5 Series,SUV,Diesel," $58,834 ",1006
2016,6,Australia,iX,Sedan,Petrol," $97,217 ",411
2016,7,UK,3 Series,SUV,Hybrid," $35,507 ",1169
2016,7,Germany,X1,Sedan,Electric," $1,13,002 ",318
2016,7,India,X1,SUV,Diesel," $43,320 ",641
2016,8,USA,5 Series,SUV,Petrol," $1,16,502 ",393
2016,8,Brazil,7 Series,Sedan,Hybrid," $49,605 ",759
2016,8,Canada,7 Series,Sedan,Petrol," $45,345 ",916
2016,8,France,7 Series,Electric,Electric," $62,052 ",518
2016,8,France,i4,SUV,Electric," $42,853 ",666
2016,8,Brazil,i7,SUV,Electric," $75,745 ",1004
2016,8,India,i7,SUV,Electric," $1,19,518 ",847
2016,8,Japan,X1,SUV,Diesel," $95,430 ",510
2016,8,UK,X3,Electric,Electric," $35,490 ",450
2016,8,Canada,X5,Sedan,Electric," $64,670 ",800
2016,9,UK,3 Series,SUV,Electric," $95,942 ",892
2016,9,Brazil,7 Series,SUV,Hybrid," $96,269 ",588
2016,9,Japan,7 Series,Sedan,Hybrid," $1,16,418 ",743
2016,9,France,i4,SUV,Diesel," $61,081 ",848
2016,9,Brazil,X1,SUV,Hybrid," $1,14,079 ",396
2016,9,India,X1,Sedan,Petrol," $42,465 ",775
2016,9,Canada,X3,Electric,Hybrid," $77,818 ",684
2016,9,Japan,X3,Electric,Diesel," $37,809 ",529
2016,9,Brazil,X5,Electric,Hybrid," $92,473 ",935
2016,9,USA,X7,SUV,Electric," $1,18,111 ",290
2016,10,Canada,3 Series,Electric,Electric," $35,515 ",561
2016,10,Brazil,5 Series,Electric,Hybrid," $39,136 ",387
2016,10,USA,i7,Sedan,Electric," $77,431 ",543
2016,10,Australia,X1,Sedan,Petrol," $87,091 ",829
2016,10,UK,X1,SUV,Electric," $62,160 ",406
2016,10,Japan,X3,Electric,Electric," $1,06,138 ",647
2016,11,China,3 Series,SUV,Hybrid," $54,581 ",346
2016,11,France,3 Series,Electric,Electric," $55,977 ",600
2016,11,China,i4,Electric,Petrol," $1,15,428 ",533
2016,11,Germany,i4,Electric,Hybrid," $65,573 ",578
2016,11,Australia,X1,Electric,Diesel," $88,775 ",910
2016,11,USA,X1,Electric,Diesel," $77,624 ",433
2016,11,Japan,X5,Sedan,Petrol," $1,02,598 ",625
2016,12,UK,3 Series,SUV,Diesel," $1,11,382 ",883
2016,12,Germany,5 Series,Sedan,Hybrid," $92,724 ",1070
2016,12,USA,7 Series,SUV,Electric," $1,08,531 ",785
2016,12,Japan,i4,SUV,Diesel," $69,758 ",977
2016,12,Japan,i7,Electric,Electric," $52,796 ",953
2016,12,China,X5,Sedan,Diesel," $92,608 ",622
2016,12,Japan,X5,Electric,Hybrid," $1,10,900 ",868
2017,1,France,3 Series,SUV,Petrol," $1,05,190 ",515
2017,1,India,3 Series,Sedan,Petrol," $52,272 ",1036
2017,1,USA,3 Series,Sedan,Petrol," $39,603 ",778
2017,1,Australia,7 Series,Electric,Electric," $97,894 ",457
2017,1,Australia,i4,Electric,Hybrid," $97,320 ",396
2017,1,China,i4,Sedan,Hybrid," $92,204 ",698
2017,1,USA,i4,Sedan,Hybrid," $96,816 ",373
2017,1,France,iX,Electric,Diesel," $50,960 ",759
2017,1,USA,iX,Electric,Hybrid," $69,635 ",533
2017,1,China,X3,Electric,Electric," $1,13,543 ",586
2017,1,Germany,X3,SUV,Electric," $78,059 ",1181
2017,1,Germany,X5,Sedan,Diesel," $1,19,573 ",67
2017,2,Canada,3 Series,Sedan,Electric," $63,369 ",532
2017,2,France,5 Series,Electric,Diesel," $49,506 ",674
2017,2,India,7 Series,Electric,Petrol," $1,17,733 ",782
2017,2,USA,i4,SUV,Petrol," $95,892 ",804
2017,2,Germany,i7,Electric,Petrol," $42,933 ",361
2017,2,Brazil,iX,SUV,Electric," $51,932 ",711
2017,2,France,X1,SUV,Hybrid," $52,857 ",523
2017,2,France,X1,SUV,Hybrid," $45,400 ",286
2017,2,USA,X1,Electric,Petrol," $96,304 ",668
2017,2,Australia,X3,Electric,Hybrid," $51,574 ",591
2017,2,France,X3,Sedan,Electric," $35,390 ",1007
2017,2,Brazil,X5,SUV,Hybrid," $35,798 ",151
2017,2,China,X5,SUV,Diesel," $67,330 ",896
2017,2,UK,X5,Sedan,Diesel," $50,689 ",406
2017,3,China,5 Series,Electric,Hybrid," $1,08,755 ",578
2017,3,France,iX,SUV,Hybrid," $46,569 ",874
2017,3,India,iX,SUV,Petrol," $1,13,863 ",693
2017,3,Brazil,X1,SUV,Petrol," $1,09,229 ",716
2017,3,Japan,X3,Sedan,Electric," $69,650 ",197
2017,3,India,X7,Electric,Electric," $64,086 ",381
2017,4,Australia,3 Series,Electric,Hybrid," $35,992 ",907
2017,4,Japan,3 Series,Electric,Hybrid," $1,15,158 ",72
2017,4,UK,7 Series,Electric,Diesel," $79,439 ",420
2017,4,USA,i4,Electric,Diesel," $1,14,526 ",439
2017,4,France,i7,Electric,Petrol," $1,11,396 ",964
2017,4,Brazil,X5,SUV,Hybrid," $73,871 ",525
2017,5,Canada,3 Series,Sedan,Hybrid," $51,374 ",1096
2017,5,Japan,iX,SUV,Diesel," $36,184 ",536
2017,5,UK,iX,Sedan,Hybrid," $1,11,946 ",903
2017,5,India,X1,Sedan,Diesel," $54,810 ",663
2017,5,Japan,X1,SUV,Diesel," $83,128 ",512
2017,5,Brazil,X3,Sedan,Hybrid," $1,16,417 ",705
2017,5,USA,X5,Sedan,Petrol," $1,08,984 ",472
2017,6,China,7 Series,SUV,Diesel," $61,655 ",1066
2017,6,Brazil,i4,Electric,Hybrid," $67,924 ",576
2017,6,Australia,iX,Electric,Hybrid," $1,06,927 ",933
2017,6,Canada,iX,SUV,Diesel," $1,09,807 ",380
2017,6,India,iX,SUV,Hybrid," $70,932 ",502
2017,6,Japan,iX,SUV,Electric," $47,254 ",389
2017,7,Brazil,3 Series,SUV,Hybrid," $79,414 ",632
2017,7,Brazil,i4,SUV,Electric," $52,297 ",738
2017,7,France,i7,SUV,Petrol," $60,425 ",302
2017,7,Canada,iX,Sedan,Diesel," $82,766 ",106
2017,7,India,iX,Electric,Diesel," $96,822 ",941
2017,7,China,X3,Electric,Petrol," $70,398 ",951
2017,7,India,X5,SUV,Petrol," $41,772 ",351
2017,7,Japan,X5,Sedan,Petrol," $1,16,533 ",1019
2017,7,USA,X7,Sedan,Electric," $86,272 ",150
2017,8,Japan,3 Series,Sedan,Hybrid," $65,063 ",245
2017,8,Brazil,5 Series,Sedan,Petrol," $1,01,985 ",453
2017,8,Japan,7 Series,Electric,Hybrid," $1,03,244 ",821
2017,8,Canada,i4,SUV,Electric," $1,00,066 ",436
2017,8,UK,i7,Sedan,Diesel," $1,08,373 ",997
2017,8,Canada,iX,Electric,Diesel," $76,081 ",879
2017,8,UK,iX,Sedan,Hybrid," $71,993 ",766
2017,8,Australia,X1,Electric,Electric," $82,975 ",652
2017,8,India,X5,Electric,Hybrid," $41,449 ",1119
2017,8,Canada,X7,Electric,Hybrid," $90,371 ",718
2017,9,China,3 Series,Electric,Petrol," $52,174 ",149
2017,9,France,5 Series,Sedan,Petrol," $1,19,101 ",446
2017,9,Australia,7 Series,SUV,Hybrid," $58,488 ",426
2017,9,Brazil,i4,Sedan,Diesel," $1,12,606 ",665
2017,9,China,i7,Electric,Diesel," $84,699 ",796
2017,9,Germany,i7,SUV,Diesel," $1,05,411 ",179
2017,9,Australia,iX,Sedan,Diesel," $55,470 ",1012
2017,9,Canada,X3,Electric,Petrol," $1,00,497 ",622
2017,9,Canada,X5,Sedan,Petrol," $37,716 ",327
2017,9,France,X7,Sedan,Diesel," $1,01,727 ",889
2017,9,Germany,X7,Sedan,Petrol," $1,17,263 ",880
2017,10,Japan,3 Series,SUV,Electric," $69,678 ",889
2017,10,India,5 Series,SUV,Electric," $1,18,886 ",357
2017,10,Germany,7 Series,Electric,Diesel," $40,033 ",1118
2017,10,France,i4,SUV,Hybrid," $98,927 ",523
2017,10,UK,i4,Electric,Electric," $97,874 ",482
2017,10,China,X3,Sedan,Petrol," $91,652 ",725
2017,10,Australia,X5,Electric,Electric," $1,15,440 ",527
2017,10,China,X5,Sedan,Electric," $98,772 ",406
2017,11,China,5 Series,Electric,Electric," $1,18,434 ",216
2017,11,Germany,7 Series,Sedan,Electric," $66,658 ",499
2017,11,UK,i4,SUV,Hybrid," $1,16,441 ",1027
2017,11,India,i7,Sedan,Petrol," $89,675 ",1029
2017,11,Brazil,X3,SUV,Hybrid," $65,951 ",811
2017,11,China,X3,SUV,Hybrid," $44,095 ",860
2017,11,India,X3,Electric,Electric," $99,384 ",515
2017,11,Japan,X3,Sedan,Electric," $81,751 ",355
2017,11,Canada,X5,Electric,Hybrid," $61,928 ",798
2017,11,UK,X7,Sedan,Electric," $66,973 ",737
2017,12,China,3 Series,Electric,Petrol," $1,17,936 ",441
2017,12,China,i4,Sedan,Hybrid," $64,001 ",709
2017,12,India,i4,SUV,Diesel," $96,868 ",455
2017,12,Brazil,iX,Sedan,Electric," $74,884 ",836
2017,12,India,X3,Electric,Electric," $72,344 ",931
2017,12,Japan,X3,Sedan,Electric," $40,974 ",699
2017,12,USA,X3,SUV,Petrol," $1,00,364 ",639
2017,12,Australia,X5,Sedan,Electric," $56,164 ",822
2017,12,Brazil,X5,Sedan,Electric," $40,730 ",1096
2017,12,China,X5,SUV,Electric," $49,271 ",967
2017,12,Germany,X5,Electric,Diesel," $38,720 ",349
2018,1,China,3 Series,SUV,Diesel," $1,06,792 ",496
2018,1,Japan,3 Series,Electric,Petrol," $95,610 ",685
2018,1,Canada,5 Series,Sedan,Hybrid," $45,310 ",421
2018,1,Brazil,7 Series,Electric,Hybrid," $42,211 ",121
2018,1,China,i4,Electric,Petrol," $90,432 ",1195
2018,1,France,i7,Electric,Electric," $57,092 ",719
2018,2,Canada,3 Series,Electric,Electric," $36,893 ",534
2018,2,Brazil,7 Series,SUV,Petrol," $65,699 ",582
2018,2,Australia,i4,Electric,Petrol," $1,17,916 ",360
2018,2,China,i4,SUV,Petrol," $35,066 ",878
2018,2,France,i7,Electric,Diesel," $57,499 ",765
2018,2,Japan,i7,SUV,Diesel," $90,421 ",591
2018,2,UK,iX,SUV,Diesel," $39,368 ",971
2018,2,Germany,X3,Electric,Diesel," $98,212 ",911
2018,2,India,X5,SUV,Petrol," $1,14,737 ",747
2018,2,Japan,X5,Electric,Petrol," $1,16,384 ",769
2018,2,Japan,X7,Sedan,Electric," $95,758 ",725
2018,3,Brazil,5 Series,Electric,Hybrid," $73,990 ",930
2018,3,Australia,i4,SUV,Petrol," $93,755 ",417
2018,3,Australia,i4,Sedan,Electric," $39,011 ",951
2018,3,India,i4,Electric,Diesel," $38,956 ",457
2018,3,Brazil,X3,Sedan,Petrol," $67,966 ",480
2018,3,India,X3,SUV,Electric," $1,09,852 ",519
2018,3,Australia,X5,SUV,Petrol," $68,139 ",459
2018,3,USA,X5,Sedan,Electric," $47,615 ",225
2018,3,Canada,X7,Sedan,Hybrid," $84,737 ",224
2018,4,Germany,5 Series,Sedan,Electric," $38,174 ",420
2018,4,France,i4,Sedan,Hybrid," $38,225 ",1118
2018,4,China,X3,SUV,Diesel," $91,398 ",559
2018,4,Japan,X3,Electric,Petrol," $71,824 ",191
2018,5,Brazil,5 Series,Sedan,Petrol," $1,06,154 ",305
2018,5,UK,5 Series,Electric,Electric," $92,514 ",447
2018,5,France,i4,SUV,Electric," $95,973 ",536
2018,5,France,i7,Electric,Electric," $92,174 ",543
2018,5,Japan,iX,SUV,Hybrid," $1,06,042 ",152
2018,5,Brazil,X3,Electric,Electric," $1,15,859 ",640
2018,5,India,X3,Sedan,Hybrid," $55,039 ",668
2018,5,Brazil,X5,Sedan,Petrol," $95,197 ",805
2018,6,Australia,3 Series,SUV,Hybrid," $74,779 ",726
2018,6,Canada,5 Series,SUV,Electric," $55,746 ",679
2018,6,USA,5 Series,SUV,Diesel," $85,492 ",354
2018,6,France,7 Series,Electric,Petrol," $87,248 ",477
2018,6,Brazil,i4,Sedan,Electric," $40,269 ",476
2018,6,France,i4,SUV,Hybrid," $98,014 ",397
2018,6,India,i7,SUV,Hybrid," $42,987 ",296
2018,6,Australia,X3,SUV,Petrol," $78,129 ",538
2018,6,Brazil,X3,SUV,Petrol," $49,130 ",533
2018,6,Australia,X5,Electric,Electric," $68,686 ",834
2018,6,India,X5,SUV,Petrol," $36,577 ",626
2018,6,USA,X7,SUV,Electric," $94,470 ",733
2018,7,Australia,3 Series,Electric,Petrol," $55,085 ",880
2018,7,Canada,i4,Electric,Electric," $35,786 ",575
2018,7,France,i4,Sedan,Hybrid," $39,758 ",934
2018,7,Canada,iX,Electric,Diesel," $36,462 ",182
2018,7,Australia,X1,Electric,Diesel," $98,965 ",551
2018,7,Australia,X3,Sedan,Electric," $43,947 ",837
2018,8,France,3 Series,SUV,Hybrid," $81,854 ",887
2018,8,India,3 Series,SUV,Electric," $74,516 ",142
2018,8,India,3 Series,Sedan,Hybrid," $87,349 ",701
2018,8,Australia,5 Series,Electric,Diesel," $80,264 ",936
2018,8,Brazil,5 Series,Sedan,Petrol," $68,896 ",708
2018,8,India,7 Series,SUV,Diesel," $79,237 ",807
2018,8,Japan,7 Series,Sedan,Hybrid," $73,762 ",332
2018,8,Australia,i4,Sedan,Electric," $82,291 ",556
2018,8,Brazil,i4,Electric,Hybrid," $44,290 ",951
2018,8,India,i7,Electric,Diesel," $57,504 ",387
2018,8,USA,X1,SUV,Diesel," $98,382 ",400
2018,8,China,X7,Sedan,Diesel," $51,122 ",530
2018,8,UK,X7,Sedan,Electric," $1,08,779 ",827
2018,9,Brazil,3 Series,Electric,Electric," $1,05,832 ",657
2018,9,Germany,3 Series,Electric,Petrol," $64,793 ",500
2018,9,UK,i7,Sedan,Electric," $94,199 ",512
2018,9,France,X1,Sedan,Hybrid," $48,854 ",966
2018,9,Germany,X3,SUV,Hybrid," $40,622 ",664
2018,9,Australia,X7,Sedan,Petrol," $77,137 ",243
2018,10,Brazil,5 Series,SUV,Hybrid," $70,081 ",529
2018,10,France,i7,SUV,Electric," $70,929 ",869
2018,10,China,iX,Electric,Hybrid," $50,240 ",703
2018,10,China,X7,Sedan,Hybrid," $98,851 ",173
2018,11,Japan,3 Series,SUV,Hybrid," $79,116 ",781
2018,11,USA,iX,Sedan,Diesel," $85,383 ",634
2018,11,Australia,X1,Sedan,Petrol," $50,696 ",898
2018,11,France,X3,Sedan,Diesel," $75,644 ",887
2018,11,Canada,X5,SUV,Diesel," $56,199 ",534
2018,12,Brazil,i4,Sedan,Petrol," $86,448 ",581
2018,12,Japan,i4,SUV,Hybrid," $40,529 ",662
2018,12,Germany,i7,Electric,Electric," $1,07,902 ",719
2018,12,UK,i7,Electric,Petrol," $60,363 ",561
2018,12,France,iX,Electric,Petrol," $1,18,255 ",1069
2018,12,Australia,X3,Electric,Petrol," $98,752 ",1116
2018,12,Canada,X3,SUV,Petrol," $66,875 ",434
2018,12,France,X3,Sedan,Electric," $1,07,013 ",840
2018,12,Canada,X5,SUV,Electric," $63,350 ",1033
2018,12,Japan,X5,Electric,Diesel," $1,02,946 ",869
2019,1,India,5 Series,Sedan,Hybrid," $46,516 ",496
2019,1,Brazil,7 Series,Sedan,Hybrid," $89,478 ",652
2019,1,China,7 Series,Electric,Hybrid," $38,332 ",418
2019,1,Canada,i4,Electric,Petrol," $1,00,449 ",844
2019,1,Germany,i4,SUV,Petrol," $75,475 ",610
2019,1,Japan,i4,Sedan,Hybrid," $84,056 ",419
2019,1,China,i7,Electric,Diesel," $49,327 ",1066
2019,1,UK,i7,Electric,Petrol," $64,265 ",231
2019,1,USA,i7,Electric,Electric," $55,028 ",685
2019,1,Australia,iX,SUV,Hybrid," $57,490 ",1049
2019,1,Australia,X3,Electric,Electric," $40,586 ",930
2019,1,Brazil,X3,Sedan,Electric," $67,230 ",424
2019,1,Canada,X7,Electric,Diesel," $96,497 ",369
2019,1,Japan,X7,Electric,Diesel," $1,09,417 ",250
2019,2,Canada,5 Series,Sedan,Electric," $1,14,436 ",730
2019,2,UK,5 Series,Electric,Diesel," $44,130 ",744
2019,2,France,7 Series,Sedan,Electric," $50,792 ",804
2019,2,USA,i7,Sedan,Petrol," $1,14,795 ",724
2019,2,France,iX,Electric,Diesel," $56,045 ",1114
2019,2,Japan,iX,Electric,Electric," $45,304 ",613
2019,2,India,X1,Electric,Electric," $50,804 ",1193
2019,2,Japan,X1,SUV,Diesel," $96,382 ",596
2019,3,China,3 Series,Sedan,Petrol," $87,949 ",265
2019,3,China,3 Series,SUV,Petrol," $1,15,356 ",980
2019,3,India,3 Series,Sedan,Electric," $80,156 ",455
2019,3,Canada,7 Series,Electric,Electric," $77,832 ",658
2019,3,USA,i7,Sedan,Petrol," $66,105 ",1062
2019,3,Canada,X1,Electric,Petrol," $49,626 ",226
2019,3,UK,X1,Electric,Electric," $77,771 ",225
2019,3,UK,X1,Electric,Petrol," $55,056 ",913
2019,3,USA,X5,Sedan,Electric," $63,621 ",945
2019,4,Canada,3 Series,Sedan,Petrol," $1,18,168 ",187
2019,4,Australia,7 Series,Sedan,Petrol," $92,233 ",70
2019,4,France,7 Series,SUV,Petrol," $91,597 ",769
2019,4,China,i4,Electric,Electric," $77,543 ",797
2019,4,China,i7,Electric,Petrol," $44,824 ",1007
2019,4,China,i7,Sedan,Electric," $49,380 ",584
2019,4,Germany,i7,Sedan,Electric," $74,895 ",547
2019,4,Australia,iX,Sedan,Hybrid," $63,091 ",1081
2019,4,UK,iX,SUV,Diesel," $68,324 ",636
2019,4,Brazil,X1,SUV,Diesel," $62,388 ",886
2019,4,France,X3,Electric,Petrol," $1,01,151 ",976
2019,4,India,X7,SUV,Hybrid," $36,079 ",351
2019,5,Japan,3 Series,SUV,Electric," $65,133 ",117
2019,5,Australia,i4,Electric,Hybrid," $70,897 ",985
2019,5,India,i7,Electric,Diesel," $49,645 ",739
